model_id,model_version,country,country_slug,score,direction,trend_change,main_drivers,data_completeness,availability,confidence,calculation_date,input_year,input_observation_ids,missing_indicator_ids,inputs,related_event_ids,interpretation_boundary
"household_economic_pressure","v0.50.0","波兰","poland","22","stable","-1","[""CPI / HICP 通胀率：贡献 16.5 分"",""失业率：贡献 5.5 分""]","100","sufficient","medium","2026-08-11","2025","[""macro:poland:hicp_inflation:2025"",""macro:poland:unemployment_rate:2025""]","[]","[{""indicator_id"":""hicp_inflation"",""indicator_name"":""CPI / HICP 通胀率"",""observation_id"":""macro:poland:hicp_inflation:2025"",""year"":2025,""raw_value"":3.3,""unit"":""%"",""normalized_score"":33,""weight"":0.5,""weighted_contribution"":16.5,""source_name"":""Eurostat prc_hicp_aind / Statistics Poland Data Portal"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/prc_hicp_aind?time=2025&geo=PL&coicop=CP00&unit=RCH_A_AVG"",""source_reliability"":""A""},{""indicator_id"":""unemployment_rate"",""indicator_name"":""失业率"",""observation_id"":""macro:poland:unemployment_rate:2025"",""year"":2025,""raw_value"":3.1,""unit"":""%"",""normalized_score"":11,""weight"":0.5,""weighted_contribution"":5.5,""source_name"":""Eurostat une_rt_a / Statistics Poland Data Portal"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_a?time=2025&geo=PL&sex=T&age=Y15-74&unit=PC_ACT"",""source_reliability"":""A""}]","[]","分数是基于公开输入和固定规则的比较工具，不是客观风险真值、预测或政策评价。"
"fiscal_pressure","v0.50.0","波兰","poland","61.3","rising","7.6","[""财政赤字/GDP：贡献 36.5 分"",""政府债务/GDP：贡献 24.8 分""]","100","sufficient","medium","2026-08-11","2025","[""v4:poland:fiscal_balance_gdp:2025"",""v4:poland:government_debt_gdp:2025""]","[]","[{""indicator_id"":""fiscal_balance_gdp"",""indicator_name"":""财政赤字/GDP"",""observation_id"":""v4:poland:fiscal_balance_gdp:2025"",""year"":2025,""raw_value"":-7.3,""unit"":""% GDP"",""normalized_score"":73,""weight"":0.5,""weighted_contribution"":36.5,""source_name"":""Eurostat"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?unit=PC_GDP&sector=S13&na_item=B9&geo=PL&time=2025"",""source_reliability"":""A""},{""indicator_id"":""government_debt_gdp"",""indicator_name"":""政府债务/GDP"",""observation_id"":""v4:poland:government_debt_gdp:2025"",""year"":2025,""raw_value"":59.7,""unit"":""% GDP"",""normalized_score"":49.6,""weight"":0.5,""weighted_contribution"":24.8,""source_name"":""Eurostat"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?unit=PC_GDP&sector=S13&na_item=GD&geo=PL&time=2025"",""source_reliability"":""A""}]","[""pl-2026-06-24-v4-summit"",""pl-2024-07-01-amended-recovery-plan""]","分数是基于公开输入和固定规则的比较工具，不是客观风险真值、预测或政策评价。"
"external_vulnerability","v0.50.0","波兰","poland","37.1","rising","2.5","[""能源进口依赖：贡献 21.4 分"",""经常账户/GDP：贡献 15.7 分""]","100","sufficient","medium","2026-08-11","2024","[""v4:poland:current_account_gdp:2024"",""v4:poland:energy_import_dependency:2024""]","[]","[{""indicator_id"":""current_account_gdp"",""indicator_name"":""经常账户/GDP"",""observation_id"":""v4:poland:current_account_gdp:2024"",""year"":2024,""raw_value"":0.3,""unit"":""% GDP"",""normalized_score"":31.3,""weight"":0.5,""weighted_contribution"":15.7,""source_name"":""Eurostat"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/tipsbp20?unit=PC_GDP&geo=PL&time=2024"",""source_reliability"":""A""},{""indicator_id"":""energy_import_dependency"",""indicator_name"":""能源进口依赖"",""observation_id"":""v4:poland:energy_import_dependency:2024"",""year"":2024,""raw_value"":45.669,""unit"":""%"",""normalized_score"":42.8,""weight"":0.5,""weighted_contribution"":21.4,""source_name"":""Eurostat"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_ind_id?unit=PC&siec=TOTAL&geo=PL&time=2024"",""source_reliability"":""A""}]","[""pl-2024-07-01-amended-recovery-plan""]","分数是基于公开输入和固定规则的比较工具，不是客观风险真值、预测或政策评价。"
"industrial_dependency","v0.70.0","波兰","poland","41.5","falling","-4.6","[""对德国出口依赖：贡献 17.1 分"",""制造业占 GDP 比重：贡献 9.0 分""]","100","sufficient","medium","2026-08-11","2024","[""v4:poland:manufacturing_share_gdp:2024"",""v4:poland:automotive_export_share:2024"",""transmission:poland:germany_export_dependence:2024"",""transmission:poland:industrial_electricity_price:2024""]","[]","[{""indicator_id"":""manufacturing_share_gdp"",""indicator_name"":""制造业占 GDP 比重"",""observation_id"":""v4:poland:manufacturing_share_gdp:2024"",""year"":2024,""raw_value"":15.4,""unit"":""%"",""normalized_score"":36,""weight"":0.25,""weighted_contribution"":9,""source_name"":""Eurostat"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_a10?unit=PC_GDP&na_item=B1G&nace_r2=C&geo=PL&time=2024"",""source_reliability"":""A""},{""indicator_id"":""automotive_export_share"",""indicator_name"":""汽车产业出口占比"",""observation_id"":""v4:poland:automotive_export_share:2024"",""year"":2024,""raw_value"":15,""unit"":""%"",""normalized_score"":25,""weight"":0.3,""weighted_contribution"":7.5,""source_name"":""Eurostat"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ext_tec09?freq=A&unit=THS_EUR&stk_flow=EXP&partner=WORLD&nace_r2=C29&nace_r2=TOTAL&geo=PL&time=2024"",""source_reliability"":""A""},{""indicator_id"":""germany_export_dependence"",""indicator_name"":""对德国出口依赖"",""observation_id"":""transmission:poland:germany_export_dependence:2024"",""year"":2024,""raw_value"":27.063,""unit"":""% exports"",""normalized_score"":56.9,""weight"":0.3,""weighted_contribution"":17.1,""source_name"":""UN Comtrade"",""source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=616&cmdCode=TOTAL&flowCode=X&partnerCode=276&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""source_reliability"":""A""},{""indicator_id"":""industrial_electricity_price"",""indicator_name"":""工业电价"",""observation_id"":""transmission:poland:industrial_electricity_price:2024"",""year"":2024,""raw_value"":0.2573,""unit"":""欧元/kWh"",""normalized_score"":52.4,""weight"":0.15,""weighted_contribution"":7.9,""source_name"":""Eurostat nrg_pc_205"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205?lang=en&geo=PL&nrg_cons=MWH500-1999&unit=KWH&tax=I_TAX&currency=EUR&sinceTimePeriod=2024-S1&untilTimePeriod=2024-S2"",""source_reliability"":""A""}]","[""pl-2024-04-23-nuctech-fsr-inspection""]","分数是基于公开输入和固定规则的比较工具，不是客观风险真值、预测或政策评价。"
"household_economic_pressure","v0.50.0","匈牙利","hungary","34","rising","3","[""CPI / HICP 通胀率：贡献 22.0 分"",""失业率：贡献 12.0 分""]","100","sufficient","medium","2026-08-11","2025","[""macro:hungary:hicp_inflation:2025"",""macro:hungary:unemployment_rate:2025""]","[]","[{""indicator_id"":""hicp_inflation"",""indicator_name"":""CPI / HICP 通胀率"",""observation_id"":""macro:hungary:hicp_inflation:2025"",""year"":2025,""raw_value"":4.4,""unit"":""%"",""normalized_score"":44,""weight"":0.5,""weighted_contribution"":22,""source_name"":""Eurostat prc_hicp_aind / HCSO STADAT"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/prc_hicp_aind?time=2025&geo=HU&coicop=CP00&unit=RCH_A_AVG"",""source_reliability"":""A""},{""indicator_id"":""unemployment_rate"",""indicator_name"":""失业率"",""observation_id"":""macro:hungary:unemployment_rate:2025"",""year"":2025,""raw_value"":4.4,""unit"":""%"",""normalized_score"":24,""weight"":0.5,""weighted_contribution"":12,""source_name"":""Eurostat une_rt_a / HCSO STADAT"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_a?time=2025&geo=HU&sex=T&age=Y15-74&unit=PC_ACT"",""source_reliability"":""A""}]","[]","分数是基于公开输入和固定规则的比较工具，不是客观风险真值、预测或政策评价。"
"fiscal_pressure","v0.50.0","匈牙利","hungary","57.6","stable","-1.3","[""政府债务/GDP：贡献 34.1 分"",""财政赤字/GDP：贡献 23.5 分""]","100","sufficient","medium","2026-08-11","2025","[""v4:hungary:fiscal_balance_gdp:2025"",""v4:hungary:government_debt_gdp:2025""]","[]","[{""indicator_id"":""fiscal_balance_gdp"",""indicator_name"":""财政赤字/GDP"",""observation_id"":""v4:hungary:fiscal_balance_gdp:2025"",""year"":2025,""raw_value"":-4.7,""unit"":""% GDP"",""normalized_score"":47,""weight"":0.5,""weighted_contribution"":23.5,""source_name"":""Eurostat"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?unit=PC_GDP&sector=S13&na_item=B9&geo=HU&time=2025"",""source_reliability"":""A""},{""indicator_id"":""government_debt_gdp"",""indicator_name"":""政府债务/GDP"",""observation_id"":""v4:hungary:government_debt_gdp:2025"",""year"":2025,""raw_value"":74.6,""unit"":""% GDP"",""normalized_score"":68.2,""weight"":0.5,""weighted_contribution"":34.1,""source_name"":""Eurostat"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?unit=PC_GDP&sector=S13&na_item=GD&geo=HU&time=2025"",""source_reliability"":""A""}]","[""hu-2023-01-26-eu-funds-conditionality""]","分数是基于公开输入和固定规则的比较工具，不是客观风险真值、预测或政策评价。"
"external_vulnerability","v0.50.0","匈牙利","hungary","34.8","falling","-17","[""能源进口依赖：贡献 24.1 分"",""经常账户/GDP：贡献 10.7 分""]","100","sufficient","medium","2026-08-11","2024","[""v4:hungary:current_account_gdp:2024"",""v4:hungary:energy_import_dependency:2024""]","[]","[{""indicator_id"":""current_account_gdp"",""indicator_name"":""经常账户/GDP"",""observation_id"":""v4:hungary:current_account_gdp:2024"",""year"":2024,""raw_value"":1.8,""unit"":""% GDP"",""normalized_score"":21.3,""weight"":0.5,""weighted_contribution"":10.7,""source_name"":""Eurostat"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/tipsbp20?unit=PC_GDP&geo=HU&time=2024"",""source_reliability"":""A""},{""indicator_id"":""energy_import_dependency"",""indicator_name"":""能源进口依赖"",""observation_id"":""v4:hungary:energy_import_dependency:2024"",""year"":2024,""raw_value"":48.943,""unit"":""%"",""normalized_score"":48.2,""weight"":0.5,""weighted_contribution"":24.1,""source_name"":""Eurostat"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_ind_id?unit=PC&siec=TOTAL&geo=HU&time=2024"",""source_reliability"":""A""}]","[""hu-2026-06-24-v4-summit""]","分数是基于公开输入和固定规则的比较工具，不是客观风险真值、预测或政策评价。"
"industrial_dependency","v0.70.0","匈牙利","hungary","46.3","falling","-8.4","[""对德国出口依赖：贡献 14.6 分"",""汽车产业出口占比：贡献 12.7 分""]","100","sufficient","medium","2026-08-11","2024","[""v4:hungary:manufacturing_share_gdp:2024"",""v4:hungary:automotive_export_share:2024"",""transmission:hungary:germany_export_dependence:2024"",""transmission:hungary:industrial_electricity_price:2024""]","[]","[{""indicator_id"":""manufacturing_share_gdp"",""indicator_name"":""制造业占 GDP 比重"",""observation_id"":""v4:hungary:manufacturing_share_gdp:2024"",""year"":2024,""raw_value"":15.9,""unit"":""%"",""normalized_score"":39.3,""weight"":0.25,""weighted_contribution"":9.8,""source_name"":""Eurostat"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_a10?unit=PC_GDP&na_item=B1G&nace_r2=C&geo=HU&time=2024"",""source_reliability"":""A""},{""indicator_id"":""automotive_export_share"",""indicator_name"":""汽车产业出口占比"",""observation_id"":""v4:hungary:automotive_export_share:2024"",""year"":2024,""raw_value"":21.9,""unit"":""%"",""normalized_score"":42.3,""weight"":0.3,""weighted_contribution"":12.7,""source_name"":""Eurostat"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ext_tec09?freq=A&unit=THS_EUR&stk_flow=EXP&partner=WORLD&nace_r2=C29&nace_r2=TOTAL&geo=HU&time=2024"",""source_reliability"":""A""},{""indicator_id"":""germany_export_dependence"",""indicator_name"":""对德国出口依赖"",""observation_id"":""transmission:hungary:germany_export_dependence:2024"",""year"":2024,""raw_value"":24.6,""unit"":""% exports"",""normalized_score"":48.7,""weight"":0.3,""weighted_contribution"":14.6,""source_name"":""UN Comtrade"",""source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=348&cmdCode=TOTAL&flowCode=X&partnerCode=276&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""source_reliability"":""A""},{""indicator_id"":""industrial_electricity_price"",""indicator_name"":""工业电价"",""observation_id"":""transmission:hungary:industrial_electricity_price:2024"",""year"":2024,""raw_value"":0.28495,""unit"":""欧元/kWh"",""normalized_score"":61.6,""weight"":0.15,""weighted_contribution"":9.2,""source_name"":""Eurostat nrg_pc_205"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205?lang=en&geo=HU&nrg_cons=MWH500-1999&unit=KWH&tax=I_TAX&currency=EUR&sinceTimePeriod=2024-S1&untilTimePeriod=2024-S2"",""source_reliability"":""A""}]","[""hu-2026-06-24-v4-summit"",""hu-2022-08-12-catl-debrecen""]","分数是基于公开输入和固定规则的比较工具，不是客观风险真值、预测或政策评价。"
"household_economic_pressure","v0.50.0","捷克","czechia","15.5","stable","-1","[""CPI / HICP 通胀率：贡献 11.5 分"",""失业率：贡献 4.0 分""]","100","sufficient","medium","2026-08-11","2025","[""macro:czechia:hicp_inflation:2025"",""macro:czechia:unemployment_rate:2025""]","[]","[{""indicator_id"":""hicp_inflation"",""indicator_name"":""CPI / HICP 通胀率"",""observation_id"":""macro:czechia:hicp_inflation:2025"",""year"":2025,""raw_value"":2.3,""unit"":""%"",""normalized_score"":23,""weight"":0.5,""weighted_contribution"":11.5,""source_name"":""Eurostat prc_hicp_aind / Czech Statistical Office Public Database"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/prc_hicp_aind?time=2025&geo=CZ&coicop=CP00&unit=RCH_A_AVG"",""source_reliability"":""A""},{""indicator_id"":""unemployment_rate"",""indicator_name"":""失业率"",""observation_id"":""macro:czechia:unemployment_rate:2025"",""year"":2025,""raw_value"":2.8,""unit"":""%"",""normalized_score"":8,""weight"":0.5,""weighted_contribution"":4,""source_name"":""Eurostat une_rt_a / Czech Statistical Office Public Database"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_a?time=2025&geo=CZ&sex=T&age=Y15-74&unit=PC_ACT"",""source_reliability"":""A""}]","[]","分数是基于公开输入和固定规则的比较工具，不是客观风险真值、预测或政策评价。"
"fiscal_pressure","v0.50.0","捷克","czechia","25.7","stable","1.1","[""政府债务/GDP：贡献 15.2 分"",""财政赤字/GDP：贡献 10.5 分""]","100","sufficient","medium","2026-08-11","2025","[""v4:czechia:fiscal_balance_gdp:2025"",""v4:czechia:government_debt_gdp:2025""]","[]","[{""indicator_id"":""fiscal_balance_gdp"",""indicator_name"":""财政赤字/GDP"",""observation_id"":""v4:czechia:fiscal_balance_gdp:2025"",""year"":2025,""raw_value"":-2.1,""unit"":""% GDP"",""normalized_score"":21,""weight"":0.5,""weighted_contribution"":10.5,""source_name"":""Eurostat"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?unit=PC_GDP&sector=S13&na_item=B9&geo=CZ&time=2025"",""source_reliability"":""A""},{""indicator_id"":""government_debt_gdp"",""indicator_name"":""政府债务/GDP"",""observation_id"":""v4:czechia:government_debt_gdp:2025"",""year"":2025,""raw_value"":44.3,""unit"":""% GDP"",""normalized_score"":30.4,""weight"":0.5,""weighted_contribution"":15.2,""source_name"":""Eurostat"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?unit=PC_GDP&sector=S13&na_item=GD&geo=CZ&time=2025"",""source_reliability"":""A""}]","[]","分数是基于公开输入和固定规则的比较工具，不是客观风险真值、预测或政策评价。"
