transmission_id,scenario_id,shock_variable,affected_indicator,affected_model,direction,transmission_channel,direct_or_indirect,regional_context_indicator,project_context,event_context,confidence,limitations
"inflation_resurgence_hicp_inflation_direct","inflation_resurgence","HICP 上升幅度","hicp_inflation","household_economic_pressure","increase","模型公式内直接重算","direct","[""regional_unemployment_rate"",""regional_employment_rate"",""regional_gdp_per_capita""]","false","true","medium","只改变该输入，其他基线变量保持不变。"
"inflation_resurgence_unemployment_rate_context","inflation_resurgence","HICP 上升幅度","unemployment_rate","household_economic_pressure","conditional","事实结构背景，不进入本轮情景分数","contextual","[]","false","true","low","相关结构指标不等于直接冲击输入，也不证明因果影响。"
"inflation_resurgence_regional_unemployment_rate_context","inflation_resurgence","HICP 上升幅度","regional_unemployment_rate","household_economic_pressure","conditional","事实结构背景，不进入本轮情景分数","contextual","[""regional_unemployment_rate""]","false","true","low","相关结构指标不等于直接冲击输入，也不证明因果影响。"
"inflation_resurgence_regional_employment_rate_context","inflation_resurgence","HICP 上升幅度","regional_employment_rate","household_economic_pressure","conditional","事实结构背景，不进入本轮情景分数","contextual","[""regional_employment_rate""]","false","true","low","相关结构指标不等于直接冲击输入，也不证明因果影响。"
"inflation_resurgence_regional_gdp_per_capita_context","inflation_resurgence","HICP 上升幅度","regional_gdp_per_capita","household_economic_pressure","conditional","事实结构背景，不进入本轮情景分数","contextual","[""regional_gdp_per_capita""]","false","true","low","相关结构指标不等于直接冲击输入，也不证明因果影响。"
"eu_funds_delay_fiscal_balance_gdp_direct","eu_funds_delay","财政余额恶化幅度","fiscal_balance_gdp","fiscal_pressure","decrease","模型公式内直接重算","direct","[""regional_gdp_per_capita"",""regional_population""]","false","true","low","只改变该输入，其他基线变量保持不变。"
"eu_funds_delay_government_expenditure_gdp_context","eu_funds_delay","财政余额恶化幅度","government_expenditure_gdp","fiscal_pressure","conditional","事实结构背景，不进入本轮情景分数","contextual","[]","false","true","low","相关结构指标不等于直接冲击输入，也不证明因果影响。"
"eu_funds_delay_regional_gdp_per_capita_context","eu_funds_delay","财政余额恶化幅度","regional_gdp_per_capita","fiscal_pressure","conditional","事实结构背景，不进入本轮情景分数","contextual","[""regional_gdp_per_capita""]","false","true","low","相关结构指标不等于直接冲击输入，也不证明因果影响。"
"eu_funds_delay_regional_population_context","eu_funds_delay","财政余额恶化幅度","regional_population","fiscal_pressure","conditional","事实结构背景，不进入本轮情景分数","contextual","[""regional_population""]","false","true","low","相关结构指标不等于直接冲击输入，也不证明因果影响。"
"energy_price_shock_industrial_electricity_price_direct","energy_price_shock","能源价格上涨幅度","industrial_electricity_price","industrial_dependency","increase","模型公式内直接重算","direct","[""regional_manufacturing_share""]","false","true","low","只改变该输入，其他基线变量保持不变。"
"energy_price_shock_household_electricity_price_direct","energy_price_shock","能源价格上涨幅度","household_electricity_price","industrial_dependency","increase","直接变量已登记，但当前模型没有对应合法输入时不重算","direct","[""regional_manufacturing_share""]","false","true","low","当前缺少可直接重算的模型输入，不生成数值影响。"
"energy_price_shock_energy_inflation_direct","energy_price_shock","能源价格上涨幅度","energy_inflation","industrial_dependency","increase","直接变量已登记，但当前模型没有对应合法输入时不重算","direct","[""regional_manufacturing_share""]","false","true","low","当前缺少可直接重算的模型输入，不生成数值影响。"
"energy_price_shock_energy_import_dependency_context","energy_price_shock","能源价格上涨幅度","energy_import_dependency","industrial_dependency","conditional","事实结构背景，不进入本轮情景分数","contextual","[]","true","true","low","相关结构指标不等于直接冲击输入，也不证明因果影响。"
"energy_price_shock_manufacturing_share_gdp_context","energy_price_shock","能源价格上涨幅度","manufacturing_share_gdp","industrial_dependency","conditional","事实结构背景，不进入本轮情景分数","contextual","[]","true","true","low","相关结构指标不等于直接冲击输入，也不证明因果影响。"
"energy_price_shock_regional_manufacturing_share_context","energy_price_shock","能源价格上涨幅度","regional_manufacturing_share","industrial_dependency","conditional","事实结构背景，不进入本轮情景分数","contextual","[""regional_manufacturing_share""]","true","true","low","相关结构指标不等于直接冲击输入，也不证明因果影响。"
"germany_demand_slowdown_germany_export_dependence_direct","germany_demand_slowdown","德国进口需求变化","germany_export_dependence","industrial_dependency","decrease","模型公式内直接重算","direct","[""regional_manufacturing_share"",""regional_employment_rate"",""regional_unemployment_rate""]","false","true","low","只改变该输入，其他基线变量保持不变。"
"germany_demand_slowdown_automotive_export_share_context","germany_demand_slowdown","德国进口需求变化","automotive_export_share","industrial_dependency","conditional","事实结构背景，不进入本轮情景分数","contextual","[]","true","true","low","相关结构指标不等于直接冲击输入，也不证明因果影响。"
"germany_demand_slowdown_manufacturing_share_gdp_context","germany_demand_slowdown","德国进口需求变化","manufacturing_share_gdp","industrial_dependency","conditional","事实结构背景，不进入本轮情景分数","contextual","[]","true","true","low","相关结构指标不等于直接冲击输入，也不证明因果影响。"
"germany_demand_slowdown_regional_manufacturing_share_context","germany_demand_slowdown","德国进口需求变化","regional_manufacturing_share","industrial_dependency","conditional","事实结构背景，不进入本轮情景分数","contextual","[""regional_manufacturing_share""]","true","true","low","相关结构指标不等于直接冲击输入，也不证明因果影响。"
"germany_demand_slowdown_regional_employment_rate_context","germany_demand_slowdown","德国进口需求变化","regional_employment_rate","industrial_dependency","conditional","事实结构背景，不进入本轮情景分数","contextual","[""regional_employment_rate""]","true","true","low","相关结构指标不等于直接冲击输入，也不证明因果影响。"
"germany_demand_slowdown_regional_unemployment_rate_context","germany_demand_slowdown","德国进口需求变化","regional_unemployment_rate","industrial_dependency","conditional","事实结构背景，不进入本轮情景分数","contextual","[""regional_unemployment_rate""]","true","true","low","相关结构指标不等于直接冲击输入，也不证明因果影响。"
