scenario_id,country_slug,model_id,model_name,shock_value,baseline_score,confidence_decomposition,baseline_date,model_version,formula_version,calculation_date,calculation_timestamp,input_observation_ids,transmission_chain,limitations,interpretation_boundary,status,scenario_score,score_change,confidence,adjusted_input,unavailable_reason
"inflation_resurgence","poland","household_economic_pressure","居民经济压力指数","2","22","{""baseline_data_completeness"":100,""model_eligibility"":100,""direct_transmission_coverage"":100,""regional_context_coverage"":100,""project_event_evidence_quality"":0,""aggregate"":90,""label"":""high""}","2025","v0.50.0","v0.90.0","2026-08-15","2026-08-15T00:00:00Z","[""macro:poland:hicp_inflation:2025"",""macro:poland:unemployment_rate:2025""]","[""基线 HICP"",""通胀冲击假设"",""调整后 HICP"",""居民经济压力模型重算"",""情景差值""]","[""冲击幅度由用户设定，不是平台对未来通胀的预测。"",""模型暂未纳入实际工资、住房成本和居民能源账单。""]","情景结果是基于用户假设的条件式比较，不是预测、风险真值或未来事实。","available","32","10","medium","{""indicator_id"":""hicp_inflation"",""indicator_name"":""CPI / HICP 通胀率"",""observation_id"":""macro:poland:hicp_inflation:2025"",""year"":2025,""baseline_value"":3.3,""shock_value"":2,""adjusted_value"":5.3,""unit"":""%"",""normalized_baseline"":33,""normalized_adjusted"":53,""weight"":0.5,""source_name"":""Eurostat prc_hicp_aind / Statistics Poland Data Portal"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/prc_hicp_aind?time=2025&geo=PL&coicop=CP00&unit=RCH_A_AVG"",""source_reliability"":""A""}",
"eu_funds_delay","poland","fiscal_pressure","财政压力指数","1","61.3","{""baseline_data_completeness"":100,""model_eligibility"":100,""direct_transmission_coverage"":100,""regional_context_coverage"":100,""project_event_evidence_quality"":100,""aggregate"":100,""label"":""high""}","2025","v0.50.0","v0.90.0","2026-08-15","2026-08-15T00:00:00Z","[""v4:poland:fiscal_balance_gdp:2025"",""v4:poland:government_debt_gdp:2025""]","[""基线财政余额/GDP"",""欧盟资金延迟假设"",""财政余额恶化幅度"",""财政压力模型重算"",""情景差值""]","[""平台没有估计欧盟资金延迟与财政余额之间的经验系数；财政余额变化完全由用户设定。"",""该情景不改变债务、融资成本或实际拨款观测值。""]","情景结果是基于用户假设的条件式比较，不是预测、风险真值或未来事实。","available","66.3","5","low","{""indicator_id"":""fiscal_balance_gdp"",""indicator_name"":""财政赤字/GDP"",""observation_id"":""v4:poland:fiscal_balance_gdp:2025"",""year"":2025,""baseline_value"":-7.3,""shock_value"":-1,""adjusted_value"":-8.3,""unit"":""% GDP"",""normalized_baseline"":73,""normalized_adjusted"":83,""weight"":0.5,""source_name"":""Eurostat"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?lang=en&freq=A&unit=PC_GDP&sector=S13&na_item=B9&geo=PL&sinceTimePeriod=2025&untilTimePeriod=2025"",""source_reliability"":""A""}",
"energy_price_shock","poland","industrial_dependency","产业依赖指数","20","41.5","{""baseline_data_completeness"":100,""model_eligibility"":100,""direct_transmission_coverage"":33,""regional_context_coverage"":100,""project_event_evidence_quality"":95,""aggregate"":86,""label"":""high""}","2024","v0.70.0","v0.90.0","2026-08-15","2026-08-15T00:00:00Z","[""v4:poland:manufacturing_share_gdp:2024"",""v4:poland:automotive_export_share:2024"",""transmission:poland:germany_export_dependence:2024"",""transmission:poland:industrial_electricity_price:2024""]","[""工业电价基线"",""能源价格涨幅假设"",""调整后工业电价"",""产业依赖模型重算"",""情景差值""]","[""能源进口依赖是结构指标，未被当作能源价格输入。"",""该情景只调整工业电价，不估计企业对冲、补贴、合同期限或向终端价格的传导。""]","情景结果是基于用户假设的条件式比较，不是预测、风险真值或未来事实。","available","44","2.5","low","{""indicator_id"":""industrial_electricity_price"",""indicator_name"":""工业电价"",""observation_id"":""transmission:poland:industrial_electricity_price:2024"",""year"":2024,""baseline_value"":0.2573,""shock_value"":20,""adjusted_value"":0.309,""unit"":""欧元/kWh"",""normalized_baseline"":52.4,""normalized_adjusted"":69.7,""weight"":0.15,""source_name"":""Eurostat nrg_pc_205"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205?lang=en&freq=S&currency=EUR&nrg_cons=MWH500-1999&unit=KWH&tax=I_TAX&geo=PL&sinceTimePeriod=2024-S1&untilTimePeriod=2024-S1"",""source_reliability"":""A""}",
"germany_demand_slowdown","poland","industrial_dependency","产业依赖指数","-5","41.5","{""baseline_data_completeness"":100,""model_eligibility"":100,""direct_transmission_coverage"":100,""regional_context_coverage"":100,""project_event_evidence_quality"":93,""aggregate"":99,""label"":""high""}","2024","v0.70.0","v0.90.0","2026-08-15","2026-08-15T00:00:00Z","[""v4:poland:manufacturing_share_gdp:2024"",""v4:poland:automotive_export_share:2024"",""transmission:poland:germany_export_dependence:2024"",""transmission:poland:industrial_electricity_price:2024""]","[""对德国出口依赖基线"",""德国需求降幅假设"",""压力调整后德国暴露"",""产业依赖模型重算"",""情景差值""]","[""对德国出口依赖来自双边货物出口占比，不以总出口规模替代。"",""压力暴露增量是公开的算术假设，不是估计的贸易弹性、产出损失或 GDP 预测。""]","情景结果是基于用户假设的条件式比较，不是预测、风险真值或未来事实。","available","42.8","1.3","low","{""indicator_id"":""germany_export_dependence"",""indicator_name"":""对德国出口依赖"",""observation_id"":""transmission:poland:germany_export_dependence:2024"",""year"":2024,""baseline_value"":27.063,""shock_value"":-5,""adjusted_value"":28.416,""unit"":""% exports"",""normalized_baseline"":56.9,""normalized_adjusted"":61.4,""weight"":0.3,""source_name"":""UN Comtrade"",""source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=616&cmdCode=TOTAL&flowCode=X&partnerCode=276&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""source_reliability"":""A""}",
"inflation_resurgence","hungary","household_economic_pressure","居民经济压力指数","2","34","{""baseline_data_completeness"":100,""model_eligibility"":100,""direct_transmission_coverage"":100,""regional_context_coverage"":100,""project_event_evidence_quality"":0,""aggregate"":90,""label"":""high""}","2025","v0.50.0","v0.90.0","2026-08-15","2026-08-15T00:00:00Z","[""macro:hungary:hicp_inflation:2025"",""macro:hungary:unemployment_rate:2025""]","[""基线 HICP"",""通胀冲击假设"",""调整后 HICP"",""居民经济压力模型重算"",""情景差值""]","[""冲击幅度由用户设定，不是平台对未来通胀的预测。"",""模型暂未纳入实际工资、住房成本和居民能源账单。""]","情景结果是基于用户假设的条件式比较，不是预测、风险真值或未来事实。","available","44","10","medium","{""indicator_id"":""hicp_inflation"",""indicator_name"":""CPI / HICP 通胀率"",""observation_id"":""macro:hungary:hicp_inflation:2025"",""year"":2025,""baseline_value"":4.4,""shock_value"":2,""adjusted_value"":6.4,""unit"":""%"",""normalized_baseline"":44,""normalized_adjusted"":64,""weight"":0.5,""source_name"":""Eurostat prc_hicp_aind / HCSO STADAT"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/prc_hicp_aind?time=2025&geo=HU&coicop=CP00&unit=RCH_A_AVG"",""source_reliability"":""A""}",
"eu_funds_delay","hungary","fiscal_pressure","财政压力指数","1","57.6","{""baseline_data_completeness"":100,""model_eligibility"":100,""direct_transmission_coverage"":100,""regional_context_coverage"":100,""project_event_evidence_quality"":100,""aggregate"":100,""label"":""high""}","2025","v0.50.0","v0.90.0","2026-08-15","2026-08-15T00:00:00Z","[""v4:hungary:fiscal_balance_gdp:2025"",""v4:hungary:government_debt_gdp:2025""]","[""基线财政余额/GDP"",""欧盟资金延迟假设"",""财政余额恶化幅度"",""财政压力模型重算"",""情景差值""]","[""平台没有估计欧盟资金延迟与财政余额之间的经验系数；财政余额变化完全由用户设定。"",""该情景不改变债务、融资成本或实际拨款观测值。""]","情景结果是基于用户假设的条件式比较，不是预测、风险真值或未来事实。","available","62.6","5","low","{""indicator_id"":""fiscal_balance_gdp"",""indicator_name"":""财政赤字/GDP"",""observation_id"":""v4:hungary:fiscal_balance_gdp:2025"",""year"":2025,""baseline_value"":-4.7,""shock_value"":-1,""adjusted_value"":-5.7,""unit"":""% GDP"",""normalized_baseline"":47,""normalized_adjusted"":57,""weight"":0.5,""source_name"":""Eurostat"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?lang=en&freq=A&unit=PC_GDP&sector=S13&na_item=B9&geo=HU&sinceTimePeriod=2025&untilTimePeriod=2025"",""source_reliability"":""A""}",
"energy_price_shock","hungary","industrial_dependency","产业依赖指数","20","46.3","{""baseline_data_completeness"":100,""model_eligibility"":100,""direct_transmission_coverage"":33,""regional_context_coverage"":100,""project_event_evidence_quality"":90,""aggregate"":86,""label"":""high""}","2024","v0.70.0","v0.90.0","2026-08-15","2026-08-15T00:00:00Z","[""v4:hungary:manufacturing_share_gdp:2024"",""v4:hungary:automotive_export_share:2024"",""transmission:hungary:germany_export_dependence:2024"",""transmission:hungary:industrial_electricity_price:2024""]","[""工业电价基线"",""能源价格涨幅假设"",""调整后工业电价"",""产业依赖模型重算"",""情景差值""]","[""能源进口依赖是结构指标，未被当作能源价格输入。"",""该情景只调整工业电价，不估计企业对冲、补贴、合同期限或向终端价格的传导。""]","情景结果是基于用户假设的条件式比较，不是预测、风险真值或未来事实。","available","49.2","2.9","low","{""indicator_id"":""industrial_electricity_price"",""indicator_name"":""工业电价"",""observation_id"":""transmission:hungary:industrial_electricity_price:2024"",""year"":2024,""baseline_value"":0.28495,""shock_value"":20,""adjusted_value"":0.342,""unit"":""欧元/kWh"",""normalized_baseline"":61.6,""normalized_adjusted"":80.7,""weight"":0.15,""source_name"":""Eurostat nrg_pc_205"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205?lang=en&freq=S&currency=EUR&nrg_cons=MWH500-1999&unit=KWH&tax=I_TAX&geo=HU&sinceTimePeriod=2024-S1&untilTimePeriod=2024-S1"",""source_reliability"":""A""}",
"germany_demand_slowdown","hungary","industrial_dependency","产业依赖指数","-5","46.3","{""baseline_data_completeness"":100,""model_eligibility"":100,""direct_transmission_coverage"":100,""regional_context_coverage"":100,""project_event_evidence_quality"":87,""aggregate"":99,""label"":""high""}","2024","v0.70.0","v0.90.0","2026-08-15","2026-08-15T00:00:00Z","[""v4:hungary:manufacturing_share_gdp:2024"",""v4:hungary:automotive_export_share:2024"",""transmission:hungary:germany_export_dependence:2024"",""transmission:hungary:industrial_electricity_price:2024""]","[""对德国出口依赖基线"",""德国需求降幅假设"",""压力调整后德国暴露"",""产业依赖模型重算"",""情景差值""]","[""对德国出口依赖来自双边货物出口占比，不以总出口规模替代。"",""压力暴露增量是公开的算术假设，不是估计的贸易弹性、产出损失或 GDP 预测。""]","情景结果是基于用户假设的条件式比较，不是预测、风险真值或未来事实。","available","47.5","1.2","low","{""indicator_id"":""germany_export_dependence"",""indicator_name"":""对德国出口依赖"",""observation_id"":""transmission:hungary:germany_export_dependence:2024"",""year"":2024,""baseline_value"":24.6,""shock_value"":-5,""adjusted_value"":25.83,""unit"":""% exports"",""normalized_baseline"":48.7,""normalized_adjusted"":52.8,""weight"":0.3,""source_name"":""UN Comtrade"",""source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=348&cmdCode=TOTAL&flowCode=X&partnerCode=276&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""source_reliability"":""A""}",
"inflation_resurgence","czechia","household_economic_pressure","居民经济压力指数","2","15.5","{""baseline_data_completeness"":100,""model_eligibility"":100,""direct_transmission_coverage"":100,""regional_context_coverage"":100,""project_event_evidence_quality"":0,""aggregate"":90,""label"":""high""}","2025","v0.50.0","v0.90.0","2026-08-15","2026-08-15T00:00:00Z","[""macro:czechia:hicp_inflation:2025"",""macro:czechia:unemployment_rate:2025""]","[""基线 HICP"",""通胀冲击假设"",""调整后 HICP"",""居民经济压力模型重算"",""情景差值""]","[""冲击幅度由用户设定，不是平台对未来通胀的预测。"",""模型暂未纳入实际工资、住房成本和居民能源账单。""]","情景结果是基于用户假设的条件式比较，不是预测、风险真值或未来事实。","available","25.5","10","medium","{""indicator_id"":""hicp_inflation"",""indicator_name"":""CPI / HICP 通胀率"",""observation_id"":""macro:czechia:hicp_inflation:2025"",""year"":2025,""baseline_value"":2.3,""shock_value"":2,""adjusted_value"":4.3,""unit"":""%"",""normalized_baseline"":23,""normalized_adjusted"":43,""weight"":0.5,""source_name"":""Eurostat prc_hicp_aind / Czech Statistical Office Public Database"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/prc_hicp_aind?time=2025&geo=CZ&coicop=CP00&unit=RCH_A_AVG"",""source_reliability"":""A""}",
"eu_funds_delay","czechia","fiscal_pressure","财政压力指数","1","25.7","{""baseline_data_completeness"":100,""model_eligibility"":100,""direct_transmission_coverage"":100,""regional_context_coverage"":100,""project_event_evidence_quality"":100,""aggregate"":100,""label"":""high""}","2025","v0.50.0","v0.90.0","2026-08-15","2026-08-15T00:00:00Z","[""v4:czechia:fiscal_balance_gdp:2025"",""v4:czechia:government_debt_gdp:2025""]","[""基线财政余额/GDP"",""欧盟资金延迟假设"",""财政余额恶化幅度"",""财政压力模型重算"",""情景差值""]","[""平台没有估计欧盟资金延迟与财政余额之间的经验系数；财政余额变化完全由用户设定。"",""该情景不改变债务、融资成本或实际拨款观测值。""]","情景结果是基于用户假设的条件式比较，不是预测、风险真值或未来事实。","available","30.7","5","low","{""indicator_id"":""fiscal_balance_gdp"",""indicator_name"":""财政赤字/GDP"",""observation_id"":""v4:czechia:fiscal_balance_gdp:2025"",""year"":2025,""baseline_value"":-2.1,""shock_value"":-1,""adjusted_value"":-3.1,""unit"":""% GDP"",""normalized_baseline"":21,""normalized_adjusted"":31,""weight"":0.5,""source_name"":""Eurostat"",""source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?lang=en&freq=A&unit=PC_GDP&sector=S13&na_item=B9&geo=CZ&sinceTimePeriod=2025&untilTimePeriod=2025"",""source_reliability"":""A""}",
