evidence_link_id,scenario_id,country_slug,evidence_type,evidence_id,title,relation,source_name,source_url,source_reliability,evidence_status,enters_score
"eu_funds_delay_event_pl-2026-06-24-v4-summit","eu_funds_delay","poland","event","pl-2026-06-24-v4-summit","波兰总理参加格德勒 V4 峰会，四国将协调欧盟议程立场","contextual","匈牙利政府","https://kormany.hu/en/news/v4-csucs-godollon-orszagainkat-sokkal-tobb-koti-ossze-mint-ami-elvalasztja","A","coded","false"
"eu_funds_delay_event_pl-2024-07-01-amended-recovery-plan","eu_funds_delay","poland","event","pl-2024-07-01-amended-recovery-plan","欧盟委员会通过波兰修订后的复苏与韧性计划评估","direct","European Commission","https://commission.europa.eu/document/download/2ca5f289-d08e-4dda-aade-4d74a6447594_en?filename=COM_2024_284_1_EN_ACT_part1_v4.pdf","A","coded","false"
"energy_price_shock_event_pl-2024-07-01-amended-recovery-plan","energy_price_shock","poland","event","pl-2024-07-01-amended-recovery-plan","欧盟委员会通过波兰修订后的复苏与韧性计划评估","contextual","European Commission","https://commission.europa.eu/document/download/2ca5f289-d08e-4dda-aade-4d74a6447594_en?filename=COM_2024_284_1_EN_ACT_part1_v4.pdf","A","coded","false"
"energy_price_shock_event_pl-2024-04-23-nuctech-fsr-inspection","energy_price_shock","poland","event","pl-2024-04-23-nuctech-fsr-inspection","欧盟委员会依外资补贴条例检查 Nuctech 在波兰的场所","contextual","European Commission","https://ec.europa.eu/commission/presscorner/detail/en/ip_24_1803","A","coded","false"
"energy_price_shock_project_pl-leapmotor-tychy-assembly","energy_price_shock","poland","project","pl-leapmotor-tychy-assembly","Leapmotor T03 蒂黑组装项目","contextual","主流通讯社","https://www.reuters.com/business/autos-transportation/stellantis-stops-making-leapmotor-ev-poland-eyes-other-options-2025-04-08/","B","部分可量化","false"
"energy_price_shock_project_pl-nuctech-kobylka","energy_price_shock","poland","project","pl-nuctech-kobylka","Nuctech 波兰安检设备基地","contextual","欧盟机构","https://ec.europa.eu/commission/presscorner/detail/en/ip_24_1803","A","仅作背景","false"
"germany_demand_slowdown_event_pl-2024-04-23-nuctech-fsr-inspection","germany_demand_slowdown","poland","event","pl-2024-04-23-nuctech-fsr-inspection","欧盟委员会依外资补贴条例检查 Nuctech 在波兰的场所","contextual","European Commission","https://ec.europa.eu/commission/presscorner/detail/en/ip_24_1803","A","coded","false"
"germany_demand_slowdown_project_pl-leapmotor-tychy-assembly","germany_demand_slowdown","poland","project","pl-leapmotor-tychy-assembly","Leapmotor T03 蒂黑组装项目","contextual","主流通讯社","https://www.reuters.com/business/autos-transportation/stellantis-stops-making-leapmotor-ev-poland-eyes-other-options-2025-04-08/","B","部分可量化","false"
"germany_demand_slowdown_project_pl-nuctech-kobylka","germany_demand_slowdown","poland","project","pl-nuctech-kobylka","Nuctech 波兰安检设备基地","contextual","欧盟机构","https://ec.europa.eu/commission/presscorner/detail/en/ip_24_1803","A","仅作背景","false"
"eu_funds_delay_event_hu-2023-01-26-eu-funds-conditionality","eu_funds_delay","hungary","event","hu-2023-01-26-eu-funds-conditionality","欧盟预算条件机制措施限制部分匈牙利机构签署新资金承诺","contextual","European Commission","https://commission.europa.eu/news-and-media/news/joint-statement-commissioners-hahn-and-gabriel-application-council-implementing-decision-15-december-2023-01-26_en","A","coded","false"
