project_id,project_name,country_slug,region_name,sector,chinese_actor,local_actor,amount,currency,amount_status,year,project_status,status_timeline,amount_evidence,actor_evidence,source_url,source_reliability_level,risk_tags,quantification_status,is_quantifiable,exposure_variable_fit,exposure_variable_note,status,note,verification_conclusion,verification_label_zh,verification_reason,verification_rule,verification_checks
"pl-china-europe-rail-malaszewicze","中欧班列与马拉舍维切物流节点","poland","马拉舍维切 / 布列斯特边境通道","铁路物流 / 跨境转运","China Railway Express / 中欧班列运营网络","PKP Cargo / 波兰铁路与物流主体待拆分",,,"amount_missing","持续运营","运营 / 贸易额与货运量待量化","[""持续运营"",""年度 TEU、贸易额、口岸主体待接入""]","金额缺失：当前来源只能证明通道和运营网络存在，未给出项目投资额、年度货值或 TEU 口径；后续需接入口岸统计、铁路运营商或海关数据。","中国主体暂按中欧班列运营网络记录；当地主体需拆分 PKP Cargo、边境口岸、场站和海关相关实体，当前为人工整理。","https://www.crexpress.cn/","C","[""物流通道"",""贸易暴露"",""边境转运""]","amount_missing","false","partial_candidate","适合作为物流通道暴露变量候选，但必须先补年度 TEU、货值、口岸吞吐和运营主体字段；现阶段不直接进入量化指数。","manual","作为波兰对华物流暴露的核心入口；金额、主体合同、年度 TEU 和贸易额仍待接入。","partially_quantifiable","部分可量化","事件、主体、年份或来源基本明确，但金额、股比、产能、TEU 或合同口径尚未补齐，只能做事件型或结构型变量候选。","无金额但有明确事件和主体 = 部分可量化","{""has_amount"":false,""has_actors"":true,""has_year"":true,""has_reliable_source"":true,""has_clear_event"":true}"
"pl-leapmotor-tychy-assembly","Leapmotor T03 蒂黑组装项目","poland","蒂黑","新能源汽车 / 整车组装","Leapmotor / Leapmotor International","Stellantis Poland",,,"amount_missing","2024","已启动后出现调整 / 状态待持续核验","[""2024 启动组装"",""2025 Reuters 报道生产调整"",""投资额和产量待接入""]","金额缺失：Reuters 来源可核验生产调整和地点，但未披露投资额；需补 Stellantis/Leapmotor 公告、工厂产量或地方投资资料。","中国主体为 Leapmotor / Leapmotor International；当地主体为 Stellantis Poland，仍需用企业公告或当地登记资料核验具体生产实体。","https://www.reuters.com/business/autos-transportation/stellantis-stops-making-leapmotor-ev-poland-eyes-other-options-2025-04-08/","B","[""新能源汽车"",""关税"",""产能转移""]","amount_missing","false","partial_candidate","适合作为中国 EV 企业进入欧盟制造网络的事件型变量；金额和产量缺失前只能作解释变量，不进入量化暴露指数。","manual","可作为中国 EV 企业借欧洲既有工厂进入欧盟市场的样本；产量、投资额和后续产地调整需持续核验。","partially_quantifiable","部分可量化","事件、主体、年份或来源基本明确，但金额、股比、产能、TEU 或合同口径尚未补齐，只能做事件型或结构型变量候选。","无金额但有明确事件和主体 = 部分可量化","{""has_amount"":false,""has_actors"":true,""has_year"":true,""has_reliable_source"":true,""has_clear_event"":true}"
"pl-nuctech-kobylka","Nuctech 波兰安检设备基地","poland","Kobylka / 华沙周边","安检设备 / 工业制造","Nuctech","Nuctech Warsaw Company / 当地实体待核验",,,"amount_missing","2018","运营 / 欧盟外资补贴调查相关风险待跟踪","[""2018 基地信息待核验"",""2024 欧盟外资补贴调查"",""金额和当地实体待接入""]","金额缺失：欧盟委员会来源可核验外资补贴调查事件，但不提供波兰基地投资额；需补企业登记、采购合同或厂区投资资料。","中国主体为 Nuctech；当地主体暂记 Nuctech Warsaw Company，需以波兰商业登记或企业年报核验。","https://ec.europa.eu/commission/presscorner/detail/en/ip_24_1803","A","[""公共采购"",""安全审查"",""外资补贴""]","amount_missing","false","context_only","更适合作为公共采购和监管事件样本；金额、合同和客户结构缺失前，不适合作为经济暴露变量主项。","manual","项目具有安全、采购和欧盟监管维度；金额字段暂缺，先作为事件与项目标签样本。","background_only","仅作背景","当前记录主要提供项目线索或背景信息，缺少可稳定量化的金额、主体链条或事件口径。","只有新闻线索 = 仅作背景","{""has_amount"":false,""has_actors"":false,""has_year"":true,""has_reliable_source"":true,""has_clear_event"":true}"
"hu-catl-debrecen","CATL 德布勒森电池工厂","hungary","德布勒森","动力电池 / 制造业","CATL","匈牙利政府 / Debrecen 地方主体","7.34","十亿欧元","amount_available","2022","在建 / 量产进度待跟踪","[""2022 企业公告投资"",""建设和量产进度待跟踪"",""补贴、产能、雇佣字段待接入""]","金额已接入：CATL 企业公告披露 73.4 亿欧元投资额；仍需补政府补贴、产能、就业和实际支出进度。","中国主体为 CATL；当地主体暂记匈牙利政府与 Debrecen 地方主体，需补项目公司、土地/许可主体和补贴签署方。","https://www.catl.com/en/news/958.html","C","[""电池产业"",""制造业集中"",""环境与用水""]","partially_quantifiable","true","strong_candidate","金额、地点、行业和主体较清楚，适合作为后续中国制造业投资暴露变量的高优先级候选；量化前需补产能和补贴字段。","manual","金额和地点来自企业公告；后续量化前仍需补贴、产能、雇佣和供应链依赖字段。","quantifiable","可量化","已具备金额、主体、年份和可点击来源，可作为项目级量化候选；进入正式分析前仍需复核金额口径。","有金额 + 有主体 + 有年份 + 有来源 = 可量化","{""has_amount"":true,""has_actors"":true,""has_year"":true,""has_reliable_source"":true,""has_clear_event"":true}"
"hu-byd-szeged","BYD 塞格德新能源汽车工厂","hungary","塞格德","新能源汽车 / 整车制造","BYD","匈牙利政府 / Szeged 地方主体",,,"amount_missing","2023","已宣布 / 投资额待接入","[""2023 项目宣布"",""投资额、产能、补贴条件待接入""]","金额缺失：AP 来源可核验项目宣布和地点，但未给出明确投资额；需补 BYD、匈牙利政府或地方政府披露的金额、产能和补贴信息。","中国主体为 BYD；当地主体暂记匈牙利政府 / Szeged 地方主体，项目公司和许可主体待核验。","https://apnews.com/article/4c4754f43703d061e1dc02516be0c14a","B","[""新能源汽车"",""欧盟关税"",""地方就业""]","amount_missing","false","partial_candidate","适合作为整车制造进入欧盟市场的项目变量候选；金额和产能未接入前，不进入金额型暴露计算。","manual","项目规模较大但金额未在来源中明确披露；待补投资额、产能和补贴条件后再量化。","partially_quantifiable","部分可量化","事件、主体、年份或来源基本明确，但金额、股比、产能、TEU 或合同口径尚未补齐，只能做事件型或结构型变量候选。","无金额但有明确事件和主体 = 部分可量化","{""has_amount"":false,""has_actors"":true,""has_year"":true,""has_reliable_source"":true,""has_clear_event"":true}"
"hu-budapest-belgrade-rail","布达佩斯-贝尔格莱德铁路匈牙利段","hungary","布达佩斯-凯莱比奥","铁路 / 基础设施","China Railway International / China Railway Engineering partners","MAV / Kínai-Magyar Vasúti Nonprofit Zrt.","949","十亿福林","amount_available","2021","建设 / 测试和投运进度待核验","[""2021 合同金额口径"",""建设推进"",""测试和投运进度待核验""]","金额已接入：项目官网/项目口径保留 9490 亿福林合同金额；需进一步拆分贷款、承包比例、匈牙利段实际支出和现金流。","中国主体暂记 China Railway International / China Railway Engineering partners；当地主体为 MAV 及 Kínai-Magyar Vasúti Nonprofit Zrt.，仍需合同文件交叉核验。","https://bbrailway.hu/","A","[""基础设施"",""融资"",""一带一路""]","partially_quantifiable","true","strong_candidate","金额和基础设施属性明确，适合作为中国融资/承包暴露变量候选；进入量化前需拆分贷款结构、承包商份额和项目阶段。","manual","保留原币种金额；后续量化前需补贷款结构、承包比例、工期和现金流字段。","quantifiable","可量化","已具备金额、主体、年份和可点击来源，可作为项目级量化候选；进入正式分析前仍需复核金额口径。","有金额 + 有主体 + 有年份 + 有来源 = 可量化","{""has_amount"":true,""has_actors"":true,""has_year"":true,""has_reliable_source"":true,""has_clear_event"":true}"
"cz-changhong-nymburk","长虹欧洲 Nymburk 电子制造基地","czechia","Nymburk","消费电子 / 制造业","Sichuan Changhong / Changhong Europe Electric","Changhong Europe Electric s.r.o.","20","百万美元","amount_available","2007","运营 / 最新产能与雇佣待核验","[""2007 历史投资规模"",""运营状态待以当地登记或年报核验"",""最新产能与雇佣待接入""]","金额已接入但为历史公开口径：2007 年约 2000 万美元；需用捷克商业登记、企业年报或地方投资资料核验是否仍适合作为当前暴露值。","中国主体为 Sichuan Changhong / Changhong Europe Electric；当地主体为 Changhong Europe Electric s.r.o.，需以捷克登记资料确认存续和控制关系。","https://www.changhong.com/","C","[""制造业"",""电子产业"",""早期投资""]","partially_quantifiable","true","context_only","可作为早期制造业进入样本；金额年代较早且当前产能/雇佣缺失，暂不适合作为当前中国经济暴露核心变量。","manual","早期中国制造业进入捷克样本；金额为公开资料中的历史投资规模，需接入企业年报或捷克商业登记核验。","quantifiable","可量化","已具备金额、主体、年份和可点击来源，可作为项目级量化候选；进入正式分析前仍需复核金额口径。","有金额 + 有主体 + 有年份 + 有来源 = 可量化","{""has_amount"":true,""has_actors"":true,""has_year"":true,""has_reliable_source"":true,""has_clear_event"":true}"
"cz-cefc-citic-slavia","CEFC/CITIC/Sinobo 对 Slavia Prague 及相关资产投资","czechia","布拉格","体育资产 / 房地产与品牌","CEFC / CITIC / Sinobo","SK Slavia Praha / Eden Arena 相关实体",,,"amount_missing","2015-2018","存续结构复杂 / 所有权与金额待拆分","[""2015-2018 投资与资产关系形成"",""后续所有权变更待拆分"",""金额、主体和资产范围待核验""]","金额缺失：Reuters 来源可核验 CEFC 在捷克资产收购活动，但 Slavia、Eden Arena、地产和相关资产金额需拆分，不能作为单一项目金额。","中国主体涉及 CEFC / CITIC / Sinobo 等连续变化；当地主体涉及 SK Slavia Praha 与 Eden Arena 相关实体，所有权链条需逐项核验。","https://www.reuters.com/article/czech-china-cefc-idUSL5N11B07B/","B","[""资产收购"",""政治关系"",""所有权变更""]","amount_missing","false","context_only","适合作为资产收购和政治经济关系样本；在资产范围和所有权链条未拆分前，不进入经济暴露量化。","manual","作为捷克对华投资关系的代表性案例；需拆分足球俱乐部、场馆、房地产和金融股权后再量化。","partially_quantifiable","部分可量化","事件、主体、年份或来源基本明确，但金额、股比、产能、TEU 或合同口径尚未补齐，只能做事件型或结构型变量候选。","无金额但有明确事件和主体 = 部分可量化","{""has_amount"":false,""has_actors"":true,""has_year"":true,""has_reliable_source"":true,""has_clear_event"":true}"
"cz-cefc-jt-finance","CEFC/CITIC 对 J&T Finance Group 股权关系","czechia","布拉格 / 捷克-斯洛伐克金融网络","金融服务 / 股权投资","CEFC / CITIC-linked Rainbow Wisdom","J&T Finance Group",,,"amount_missing","2015-至今待核验","少数股权 / 监管与所有权状态待核验","[""2015 起股权关系形成"",""少数股权和监管状态待核验"",""金额、股比和治理权待接入""]","金额缺失：当前来源主要指向集团层面信息，未形成可直接引用的交易金额、股比和治理权字段；需补 J&T 年报、监管披露或交易公告。","中国主体暂记 CEFC / CITIC-linked Rainbow Wisdom；当地主体为 J&T Finance Group，需用年报和监管资料核验最终受益人、股比和权利结构。","https://www.jtfg.com/","C","[""金融股权"",""监管审查"",""跨境资本""]","amount_missing","false","partial_candidate","金融网络暴露相关性较强，但金额、股比和治理权缺失；补齐后可作为金融权益暴露变量候选。","manual","适合跟踪中国资本在捷克-斯洛伐克金融网络中的暴露；需以 J&T 年报和监管材料核验股权比例。","partially_quantifiable","部分可量化","事件、主体、年份或来源基本明确，但金额、股比、产能、TEU 或合同口径尚未补齐，只能做事件型或结构型变量候选。","无金额但有明确事件和主体 = 部分可量化","{""has_amount"":false,""has_actors"":true,""has_year"":false,""has_reliable_source"":true,""has_clear_event"":true}"
"sk-gotion-inobat-surany","Gotion/InoBat 苏拉尼电池超级工厂","slovakia","Surany","动力电池 / 制造业","Gotion High-Tech","InoBat / 斯洛伐克政府与地方主体","1.2","十亿欧元","amount_available","2023","规划 / 政府支持和建设进度待跟踪","[""2023 项目宣布"",""规划与政府支持阶段"",""补贴、产能、投产年份待接入""]","金额已接入：公开资料口径约 12 亿欧元；需补政府补贴、股权结构、产能、投产年份和实际建设进度。","中国主体为 Gotion High-Tech；当地主体为 InoBat 及斯洛伐克政府/地方主体，项目公司和审批主体需进一步核验。","https://www.inobat.eu/","C","[""电池产业"",""政府补贴"",""汽车供应链""]","partially_quantifiable","true","strong_candidate","金额、行业和地点较明确，适合作为电池供应链暴露变量候选；进入量化前需补股权、补贴、产能和建设进度。","manual","斯洛伐克最重要的中国电池链条项目入口；后续量化前需补股权、补贴、产能、投产年份和地方审批状态。","quantifiable","可量化","已具备金额、主体、年份和可点击来源，可作为项目级量化候选；进入正式分析前仍需复核金额口径。","有金额 + 有主体 + 有年份 + 有来源 = 可量化","{""has_amount"":true,""has_actors"":true,""has_year"":true,""has_reliable_source"":true,""has_clear_event"":true}"
