project_location_id,project_id,project_name,country_id,region_id,region_name,city_or_locality,location_role,location_precision,marker_type,confidence,source_reliability,source_url,default_display,optional_display,map_eligible,readiness_status,notes
"pl-china-europe-rail-malaszewicze_location","pl-china-europe-rail-malaszewicze","中欧班列与马拉舍维切物流节点","poland","poland_lublin","卢布林省","Małaszewicze / Brest border corridor","corridor_node","region_level","regional_reference","low","C","https://www.crexpress.cn/","false","true","true","optional_low_confidence_reference","区域级参考位置，并非项目精确坐标；marker_type=regional_reference。"
"pl-leapmotor-tychy-assembly_location","pl-leapmotor-tychy-assembly","Leapmotor T03 蒂黑组装项目","poland","poland_silesian","西里西亚省","Tychy","primary_site","city_level","regional_reference","medium","B","https://www.reuters.com/business/autos-transportation/stellantis-stops-making-leapmotor-ev-poland-eyes-other-options-2025-04-08/","true","false","true","ready_as_regional_reference","区域级参考位置，并非项目精确坐标；marker_type=regional_reference。"
"pl-nuctech-kobylka_location","pl-nuctech-kobylka","Nuctech 波兰安检设备基地","poland","poland_masovian","马佐夫舍省","Kobyłka / Warsaw area","primary_site","city_level","regional_reference","medium","A","https://ec.europa.eu/commission/presscorner/detail/en/ip_24_1803","true","false","true","ready_as_regional_reference","区域级参考位置，并非项目精确坐标；marker_type=regional_reference。"
"hu-catl-debrecen_location","hu-catl-debrecen","CATL 德布勒森电池工厂","hungary","hungary_hajdu_bihar","豪伊杜-比豪尔州","Debrecen","primary_site","city_level","regional_reference","medium","B","https://www.catl.com/en/news/983.html","true","false","true","ready_as_regional_reference","区域级参考位置，并非项目精确坐标；marker_type=regional_reference。"
"hu-byd-szeged_location","hu-byd-szeged","BYD 塞格德新能源汽车工厂","hungary","hungary_csongrad_csanad","琼格拉德-乔纳德州","Szeged","primary_site","city_level","regional_reference","medium","B","https://apnews.com/article/4c4754f43703d061e1dc02516be0c14a","true","false","true","ready_as_regional_reference","区域级参考位置，并非项目精确坐标；marker_type=regional_reference。"
"hu-budapest-belgrade-rail_location","hu-budapest-belgrade-rail","布达佩斯-贝尔格莱德铁路匈牙利段","hungary","hungary_budapest","布达佩斯","Budapest-Kelebia corridor","corridor_node","region_level","regional_reference","low","A","https://bbrailway.hu/","false","true","true","optional_low_confidence_reference","区域级参考位置，并非项目精确坐标；marker_type=regional_reference。"
"cz-changhong-nymburk_location","cz-changhong-nymburk","长虹欧洲 Nymburk 电子制造基地","czechia","czechia_central_bohemian","中波希米亚州","Nymburk","primary_site","city_level","regional_reference","medium","C","https://www.changhong.com/","true","false","true","ready_as_regional_reference","区域级参考位置，并非项目精确坐标；marker_type=regional_reference。"
"cz-cefc-citic-slavia_location","cz-cefc-citic-slavia","CEFC/CITIC/Sinobo 对 Slavia Prague 及相关资产投资","czechia","czechia_prague","布拉格","Prague","primary_site","city_level","regional_reference","medium","B","https://www.reuters.com/article/czech-china-cefc-idUSL5N11B07B/","true","false","true","ready_as_regional_reference","区域级参考位置，并非项目精确坐标；marker_type=regional_reference。"
"cz-cefc-jt-finance_location","cz-cefc-jt-finance","CEFC/CITIC 对 J&T Finance Group 股权关系","czechia","czechia_prague","布拉格","Prague / Czech-Slovak finance network","primary_site","region_level","regional_reference","low","C","https://www.jtfg.com/","false","true","true","optional_low_confidence_reference","区域级参考位置，并非项目精确坐标；marker_type=regional_reference。"
"sk-gotion-inobat-surany_location","sk-gotion-inobat-surany","Gotion/InoBat 苏拉尼电池超级工厂","slovakia","slovakia_nitra","尼特拉州","Šurany","primary_site","city_level","regional_reference","medium","A","https://www.economy.gov.sk/en/press/the-second-highest-investment-in-the-history-of-country-is-coming-to-slovakia-it-is-worth-eur-12-billion-and-it-focuses-on-battery-production","true","false","true","ready_as_regional_reference","区域级参考位置，并非项目精确坐标；marker_type=regional_reference。"
"sk-gotion-inobat-equity_location","sk-gotion-inobat-equity","Gotion 对 InoBat 股权与技术合作","slovakia","slovakia_bratislava","布拉迪斯拉发州","Bratislava / Voderady / Šurany network","asset_location","region_level","regional_reference","low","B","https://www.inobat.eu/newsroom/inobat-and-gotion-sign-mou-to-develop-joint-venture-ev-battery-cells-and-packs-in-cee/","false","true","true","optional_low_confidence_reference","区域级参考位置，并非项目精确坐标；marker_type=regional_reference。"
"de-catl-thuringia-battery_location","de-catl-thuringia-battery","CATL 图林根电池工厂","germany","germany_thuringia","图林根州","Thuringia","primary_site","region_level","regional_reference","low","B","https://www.catl.com/en/enterpriseinfoEnglish/","false","true","true","optional_low_confidence_reference","区域级参考位置，并非项目精确坐标；marker_type=regional_reference。"
"de-cosco-hhla-tollerort_location","de-cosco-hhla-tollerort","COSCO SHIPPING Ports 对 HHLA Tollerort 码头少数股权","germany","germany_hamburg","汉堡","Hamburg / Tollerort terminal","primary_site","city_level","regional_reference","medium","B","https://bericht.hhla.de/geschaeftsbericht-2023/lagebericht/grundlagen-des-konzerns/geschaeftspartner-und-kunden.html","true","false","true","ready_as_regional_reference","区域级参考位置，并非项目精确坐标；marker_type=regional_reference。"
"at-avic-facc-majority-stake_location","at-avic-facc-majority-stake","AVIC Cabin Systems 对 FACC 控股","austria","austria_upper_austria","上奥地利州","Upper Austria","asset_location","region_level","regional_reference","low","B","https://www.facc.com/en/wp-content/uploads/sites/2/2026/03/annualreport-facc-2025-en.pdf","false","true","true","optional_low_confidence_reference","区域级参考位置，并非项目精确坐标；marker_type=regional_reference。"
"ro-cgn-cernavoda-terminated_location","ro-cgn-cernavoda-terminated","CGN 参与 Cernavoda 3/4 号机组谈判","romania","romania_constanta","康斯坦察县","Cernavoda / Constanta County","primary_site","city_level","regional_reference","medium","A","https://nuclearelectrica.ro/snn/en/about-us/history/","true","false","true","ready_as_regional_reference","区域级参考位置，并非项目精确坐标；marker_type=regional_reference。"
"si-hisense-gorenje-acquisition_location","si-hisense-gorenje-acquisition","Hisense 收购 Gorenje","slovenia","slovenia_eastern_slovenia","东斯洛文尼亚凝聚区","Velenje / Eastern Slovenia","asset_location","city_level","regional_reference","medium","B","https://seonet.ljse.si/default_en.aspx?doc=LATEST_PUBLIC_ANNOUNCEMENTS&doc_id=67459&language=en","true","false","true","ready_as_regional_reference","区域级参考位置，并非项目精确坐标；marker_type=regional_reference。"
"hr-peljesac-bridge-crbc_location","hr-peljesac-bridge-crbc","CRBC Peljesac 大桥建设合同","croatia","croatia_dubrovnik_neretva","杜布罗夫尼克-内雷特瓦县","Peljesac / Dubrovnik-Neretva County","corridor_node","region_level","regional_reference","low","A","https://mmpi.gov.hr/news-6989/minister-says-work-on-peljesac-bridge-proceeding-as-planned/22439","false","true","true","optional_low_confidence_reference","区域级参考位置，并非项目精确坐标；marker_type=regional_reference。"
"rs-linglong-zrenjanin-tire_location","rs-linglong-zrenjanin-tire","Linglong Zrenjanin 轮胎工厂","serbia","serbia_central_banat","中巴纳特州","Zrenjanin / Central Banat District","primary_site","city_level","regional_reference","medium","A","https://www.srbija.gov.rs/vest/en/230956/serial-production-of-tyres-begins-at-linglong-factory-in-zrenjanin.php","true","false","true","ready_as_regional_reference","区域级参考位置，并非项目精确坐标；marker_type=regional_reference。"
"rs-zijin-rtb-bor_location","rs-zijin-rtb-bor","Zijin 对 RTB Bor 战略投资","serbia","serbia_bor","博尔州","Bor / Bor District","multi_location_reference","city_level","regional_reference","medium","A","https://privreda.gov.rs/lat/aktuelno/vesti-i-saopstenja/potpisan-zapisnik-kinezi-preuzeli-upravljanje-rtb-om-bor","true","false","true","ready_as_regional_reference","区域级参考位置，并非项目精确坐标；marker_type=regional_reference。"
"hu-budapest-belgrade-rail_pest_corridor","hu-budapest-belgrade-rail","布达佩斯-贝尔格莱德铁路匈牙利段","hungary","hungary_pest","佩斯州","Pest corridor","corridor_node","region_level","regional_reference","low","A","https://bbrailway.hu/","false","true","true","optional_low_confidence_reference","区域级参考位置，并非项目精确坐标；marker_type=regional_reference。"
"hu-budapest-belgrade-rail_kelebia_destination","hu-budapest-belgrade-rail","布达佩斯-贝尔格莱德铁路匈牙利段","hungary","hungary_bacs_kiskun","巴奇-基什孔州","Kelebia / Bacs-Kiskun","destination","region_level","regional_reference","low","A","https://bbrailway.hu/","false","true","true","optional_low_confidence_reference","区域级参考位置，并非项目精确坐标；marker_type=regional_reference。"
"sk-gotion-inobat-equity_voderady_facility","sk-gotion-inobat-equity","Gotion 对 InoBat 股权与技术合作","slovakia","slovakia_trnava","特尔纳瓦州","Voderady / Trnava Region","facility","region_level","regional_reference","low","B","https://www.inobat.eu/newsroom/inobat-and-gotion-sign-mou-to-develop-joint-venture-ev-battery-cells-and-packs-in-cee/","false","true","true","optional_low_confidence_reference","区域级参考位置，并非项目精确坐标；marker_type=regional_reference。"
"sk-gotion-inobat-equity_surany_facility","sk-gotion-inobat-equity","Gotion 对 InoBat 股权与技术合作","slovakia","slovakia_nitra","尼特拉州","Surany / Nitra Region","facility","region_level","regional_reference","low","B","https://www.inobat.eu/newsroom/inobat-and-gotion-sign-mou-to-develop-joint-venture-ev-battery-cells-and-packs-in-cee/","false","true","true","optional_low_confidence_reference","区域级参考位置，并非项目精确坐标；marker_type=regional_reference。"
